2014.12.16 22:15,1.24932,1.24976,1.24902,1.24969,959
2014.12.16 22:30,1.24968,1.25028,1.24954,1.25006,1002
2014.12.16 22:45,1.25007,1.25158,1.24978,1.25141,1537
2014.12.16 23:00,1.25140,1.25140,1.25095,1.25115,681
2014.12.16 23:15,1.25115,1.25157,1.25087,1.25152,647
2014.12.16 23:30,1.25152,1.25152,1.25093,1.25103,728
2014.12.16 23:45,1.25103,1.25113,1.25067,1.25093,1086
2014.12.17 00:00,1.25096,1.25106,1.25085,1.25086,178
2014.12.17 00:15,1.25085,1.25108,1.25078,1.25105,307
2014.12.17 00:30,1.25106,1.25117,1.25103,1.25116,347
2014.12.17 00:45,1.25114,1.25134,1.25096,1.25104,506
2014.12.17 01:00,1.25099,1.25112,1.25078,1.25106,721
2014.12.17 01:15,1.25105,1.25105,1.25024,1.25046,658
2014.12.17 01:30,1.25047,1.25049,1.25029,1.25038,371
2014.12.17 01:45,1.25040,1.25098,1.25035,1.25097,336
2014.12.17 02:00,1.25121,1.25129,1.25020,1.25044,1433
2014.12.17 02:15,1.25044,1.25057,1.24998,1.25016,1008
2014.12.17 02:30,1.25016,1.25065,1.25005,1.25053,686
2014.12.17 02:45,1.25054,1.25076,1.25002,1.25039,1098
2014.12.17 03:00,1.25037,1.25108,1.25028,1.25087,1136
2014.12.17 03:15,1.25087,1.25097,1.25064,1.25065,683
2014.12.17 03:30,1.25065,1.25076,1.25032,1.25044,710
2014.12.17 03:45,1.25045,1.25074,1.25033,1.25033,649
2014.12.17 04:00,1.25034,1.25135,1.25029,1.25125,851
2014.12.17 04:15,1.25124,1.25149,1.25112,1.25125,707
2014.12.17 04:30,1.25124,1.25138,1.25063,1.25073,647
2014.12.17 04:45,1.25073,1.25082,1.24975,1.24994,1161
2014.12.17 05:00,1.24994,1.25025,1.24940,1.24940,1137
2014.12.17 05:15,1.24939,1.24970,1.24918,1.24937,661
2014.12.17 05:30,1.24938,1.24965,1.24921,1.24934,699
2014.12.17 05:45,1.24934,1.24947,1.24881,1.24926,862
2014.12.17 06:00,1.24925,1.24949,1.24902,1.24914,855
2014.12.17 06:15,1.24915,1.24915,1.24863,1.24863,628
2014.12.17 06:30,1.24863,1.24938,1.24851,1.24921,952
2014.12.17 06:45,1.24922,1.24937,1.24889,1.24900,782
2014.12.17 07:00,1.24902,1.24904,1.24867,1.24894,537
2014.12.17 07:15,1.24894,1.24904,1.24867,1.24882,479
2014.12.17 07:30,1.24881,1.24894,1.24866,1.24887,475
2014.12.17 07:45,1.24886,1.24889,1.24862,1.24872,502
2014.12.17 08:00,1.24873,1.24881,1.24836,1.24864,485
2014.12.17 08:15,1.24864,1.24866,1.24822,1.24837,430
2014.12.17 08:30,1.24837,1.24859,1.24825,1.24851,457
2014.12.17 08:45,1.24849,1.24853,1.24745,1.24764,851
2014.12.17 09:00,1.24764,1.24936,1.24752,1.24914,953
2014.12.17 09:15,1.24913,1.24958,1.24823,1.24876,1326
2014.12.17 09:30,1.24877,1.24889,1.24814,1.24844,1274
2014.12.17 09:45,1.24844,1.24847,1.24615,1.24619,2013
2014.12.17 10:00,1.24618,1.24689,1.24587,1.24649,1939
2014.12.17 10:15,1.24647,1.24676,1.24605,1.24637,1420
2014.12.17 10:30,1.24638,1.24660,1.24545,1.24597,1866
2014.12.17 10:45,1.24596,1.24673,1.24539,1.24671,1835
2014.12.17 11:00,1.24669,1.24705,1.24642,1.24657,2060
2014.12.17 11:15,1.24656,1.24716,1.24603,1.24693,1664
2014.12.17 11:30,1.24691,1.24708,1.24578,1.24585,1893
2014.12.17 11:45,1.24586,1.24655,1.24535,1.24616,1539
2014.12.17 12:00,1.24617,1.24668,1.24551,1.24652,1583
2014.12.17 12:15,1.24653,1.24694,1.24583,1.24623,1709
2014.12.17 12:30,1.24623,1.24623,1.24485,1.24547,1889
2014.12.17 12:45,1.24548,1.24557,1.24462,1.24492,1570
2014.12.17 13:00,1.24493,1.24548,1.24448,1.24533,1480
2014.12.17 13:15,1.24534,1.24579,1.24498,1.24555,1421
2014.12.17 13:30,1.24555,1.24555,1.24481,1.24487,1114
2014.12.17 13:45,1.24485,1.24594,1.24479,1.24593,1370
2014.12.17 14:00,1.24594,1.24608,1.24538,1.24569,1276
2014.12.17 14:15,1.24568,1.24649,1.24561,1.24576,1231
2014.12.17 14:30,1.24576,1.24578,1.24522,1.24567,1218
2014.12.17 14:45,1.24568,1.24600,1.24499,1.24504,1173
2014.12.17 15:00,1.24504,1.24539,1.24459,1.24474,1351
2014.12.17 15:15,1.24474,1.24606,1.24471,1.24589,1288
2014.12.17 15:30,1.24593,1.24713,1.24580,1.24649,2322
2014.12.17 15:45,1.24666,1.24760,1.24618,1.24671,2286
2014.12.17 16:00,1.24670,1.24709,1.24482,1.24518,2317
2014.12.17 16:15,1.24511,1.24638,1.24504,1.24595,1475
2014.12.17 16:30,1.24595,1.24648,1.24508,1.24516,2533
2014.12.17 16:45,1.24518,1.24579,1.24455,1.24480,2325
2014.12.17 17:00,1.24488,1.24534,1.24095,1.24179,3664
2014.12.17 17:15,1.24181,1.24219,1.24093,1.24112,3002
2014.12.17 17:30,1.24110,1.24149,1.23856,1.23952,3297
2014.12.17 17:45,1.23948,1.24025,1.23928,1.23929,2531
2014.12.17 18:00,1.23927,1.24058,1.23895,1.24036,2113
